x,y,theta
53.2895,11.1456,0.485149
53.5549,11.2855,0.485149
53.8202,11.4254,0.485149
53.9463,11.4918,0.485149
54.2163,11.6226,0.417026
54.4945,11.7347,0.348904
54.7797,11.8275,0.280781
55.0705,11.9008,0.212658
55.3657,11.9541,0.144535
55.6638,11.9871,0.0764124
55.9635,11.9998,0.00828958
56,12,9.02056e-17
